City,DT,Country,Lat,Lon,Temp,Color,Feels_Like,Hi,Low,Cloudiness,Weather,Humidity,Wind
upata,1579885690.0,VE,8.01,-62.4,92.75,red,94.82,92.75,92.75,0.0,clear sky,34.0,2.28
kigoma,1579885692.0,TZ,-4.88,29.63,78.66,orange,81.09,78.66,78.66,100.0,light rain,70.0,7.52
tessalit,1579885693.0,ML,20.2,1.01,82.15,red,72.84,82.15,82.15,99.0,overcast clouds,9.0,7.29
wangqing,1579885694.0,CN,43.32,129.76,-1.23,blue,-8.34,-1.23,-1.23,0.0,clear sky,70.0,0.89
nuevo progreso,1579885695.0,MX,23.17,-97.95,70.0,orange,73.56,70.0,70.0,26.0,scattered clouds,84.0,3.0
iquitos,1579885696.0,PE,-3.75,-73.25,42.8,green,39.88,42.8,42.8,75.0,light intensity shower rain,100.0,2.24
opuwo,1579885697.0,NA,-18.06,13.84,81.66,red,71.74,81.66,81.66,85.0,overcast clouds,29.0,16.08
pisco,1579885677.0,PE,-13.7,-76.22,71.6,orange,64.56,71.6,71.6,75.0,broken clouds,30.0,8.05
anloga,1579885700.0,GH,5.79,0.9,89.6,red,92.5,89.6,89.6,14.0,few clouds,52.0,8.05
burglengenfeld,1579885701.0,DE,49.21,12.04,30.16,green,24.13,32.0,27.0,90.0,haze,66.0,1.88
sangar,1579885553.0,RU,63.92,127.47,-45.27,blue,-53.84,-45.27,-45.27,51.0,broken clouds,98.0,2.57
rocha,1579885703.0,UY,-34.48,-54.33,91.51,red,86.18,91.51,91.51,0.0,clear sky,20.0,7.29
alyangula,1579885704.0,AU,-13.85,136.42,84.2,red,90.57,84.2,84.2,100.0,overcast clouds,79.0,9.17
elat,1579885705.0,IL,29.56,34.95,57.2,orange,44.19,57.2,57.2,40.0,scattered clouds,41.0,17.22
mantua,1579885435.0,IT,45.17,10.78,42.42,green,38.07,46.0,41.0,40.0,mist,75.0,2.24
bauchi,1579885707.0,NG,10.5,10.0,72.46,orange,62.71,72.46,72.46,10.0,clear sky,10.0,7.4
harper,1579885708.0,LR,4.38,-7.72,82.81,red,89.2,82.81,82.81,55.0,broken clouds,76.0,6.49
nouadhibou,1579885709.0,MR,20.93,-17.03,69.8,orange,64.26,69.8,69.8,83.0,broken clouds,60.0,12.75
kyra,1579885711.0,RU,49.58,111.98,-8.01,blue,-15.99,-8.01,-8.01,0.0,clear sky,80.0,2.24
burgersdorp,1579885712.0,ZA,-31.0,26.33,62.73,orange,50.41,62.73,62.73,73.0,light rain,72.0,23.82
severo-kurilsk,1579885462.0,RU,50.68,156.12,14.31,blue,-4.25,14.31,14.31,80.0,light snow,87.0,22.82
gimli,1579885714.0,CA,50.63,-96.99,20.61,blue,11.57,21.99,19.0,24.0,few clouds,93.0,7.0
kazan,1579885715.0,RU,55.79,49.12,15.8,blue,3.74,15.8,15.8,100.0,light snow,78.0,11.18
caltanissetta,1579885717.0,IT,37.37,14.06,51.03,orange,46.29,55.4,48.99,75.0,broken clouds,76.0,5.82
ancud,1579885489.0,CL,-41.87,-73.82,66.2,orange,57.61,66.2,66.2,75.0,broken clouds,59.0,16.11
camocim,1579885719.0,BR,-2.9,-40.84,85.42,red,91.47,85.42,85.42,79.0,moderate rain,73.0,8.46
labrea,1579885720.0,BR,-7.26,-64.8,92.12,red,98.62,92.12,92.12,80.0,broken clouds,52.0,3.8
palauig,1579885722.0,PH,15.44,119.9,73.11,orange,76.69,73.11,73.11,72.0,broken clouds,76.0,3.11
altay,1579885723.0,CN,47.87,88.12,14.31,blue,4.37,14.31,14.31,53.0,broken clouds,41.0,6.11
bathsheba,1579885724.0,BB,13.22,-59.52,86.0,red,86.94,86.0,86.0,40.0,scattered clouds,66.0,14.99
atalanti,1579885725.0,GR,38.65,23.0,44.02,green,40.33,48.99,41.0,0.0,clear sky,75.0,1.5
plettenberg bay,1579885726.0,ZA,-34.05,23.37,69.08,orange,72.82,69.08,69.08,11.0,few clouds,83.0,1.74
mount isa,1579885727.0,AU,-20.73,139.5,77.0,orange,85.28,77.0,77.0,75.0,broken clouds,100.0,5.82
ambon,1579885429.0,ID,-3.7,128.18,77.0,orange,82.27,77.0,77.0,20.0,few clouds,94.0,9.17
oktyabrskoye,1579885729.0,RU,43.06,44.74,14.0,blue,5.61,14.0,14.0,20.0,few clouds,78.0,4.47
moree,1579885730.0,AU,-29.47,149.85,77.0,orange,81.46,77.0,77.0,0.0,light rain,83.0,6.93
aswan,1579885448.0,EG,24.09,32.91,56.07,orange,46.18,56.07,56.07,0.0,clear sky,46.0,12.19
xuddur,1579885732.0,SO,4.12,43.89,85.15,red,84.04,85.15,85.15,100.0,overcast clouds,43.0,7.85
thessalon,1579885734.0,CA,46.25,-83.57,33.31,green,21.76,33.8,32.0,90.0,overcast clouds,74.0,12.75
ravar,1579885736.0,IR,31.27,56.81,43.57,green,37.74,43.57,43.57,0.0,clear sky,47.0,2.35
college,1579885737.0,US,64.86,-147.8,-7.17,blue,-15.38,-4.0,-9.0,90.0,light snow,76.0,2.66
amahai,1579885738.0,ID,-3.33,128.92,81.93,red,86.74,81.93,81.93,10.0,clear sky,74.0,7.65
beamsville,1579885689.0,CA,43.17,-79.48,39.31,green,29.89,46.0,35.6,90.0,overcast clouds,48.0,8.05
acarau,1579885556.0,BR,-2.89,-40.12,88.75,red,88.99,88.75,88.75,12.0,few clouds,54.0,13.09
jhang,1579885741.0,PK,33.67,72.7,53.31,orange,45.75,55.0,51.8,40.0,scattered clouds,43.0,6.93
dalvik,1579885647.0,IS,65.97,-18.53,32.0,green,23.79,32.0,32.0,75.0,broken clouds,80.0,6.93
raduzhnyy,1579885745.0,RU,62.1,77.47,14.65,blue,3.67,14.65,14.65,100.0,light snow,92.0,9.55
rio cuarto,1579885504.0,AR,-33.13,-64.35,91.4,red,88.48,91.4,91.4,6.0,clear sky,36.0,11.41
mikhaylovskoye,1579885748.0,RU,51.82,79.72,23.65,blue,9.57,23.65,23.65,97.0,overcast clouds,81.0,15.9
saumur,1579885749.0,FR,47.33,-0.25,41.32,green,35.46,52.0,39.0,90.0,fog,100.0,6.93
kamenka,1579885616.0,RU,51.32,42.77,27.0,blue,11.35,27.0,27.0,98.0,light snow,85.0,19.46
maarianhamina,1579885751.0,AX,60.1,19.93,37.4,green,32.18,37.4,37.4,27.0,scattered clouds,86.0,3.36
lakhipur,1579885752.0,IN,26.03,90.3,53.42,green,50.22,53.42,53.42,0.0,clear sky,68.0,2.86
idlib,1579885753.0,SY,35.93,36.63,48.2,green,36.34,48.2,48.2,0.0,clear sky,26.0,11.41
oktyabrskiy,1579885754.0,RU,54.48,53.47,8.24,blue,-4.11,8.24,8.24,90.0,overcast clouds,93.0,11.3
aleysk,1579885756.0,RU,52.49,82.78,23.2,blue,12.43,23.2,23.2,96.0,overcast clouds,83.0,10.04
deputatskiy,1579885757.0,RU,69.3,139.9,-36.53,blue,-44.63,-36.53,-36.53,3.0,clear sky,96.0,1.83
skibbereen,1579885758.0,IE,51.55,-9.27,42.8,green,36.86,42.8,42.8,75.0,broken clouds,93.0,6.93
kelso,1579885760.0,US,46.15,-122.91,49.24,green,43.88,51.8,46.0,90.0,overcast clouds,81.0,6.93
marawi,1579885761.0,PH,8.0,124.29,77.0,orange,83.86,77.0,77.0,8.0,clear sky,90.0,5.01
mama,1579885762.0,RU,58.31,112.9,-5.42,blue,-15.75,-5.42,-5.42,98.0,overcast clouds,94.0,6.71
ryotsu,1579885763.0,JP,38.08,138.43,32.0,green,24.4,32.0,32.0,40.0,scattered clouds,62.0,4.7
port hardy,1579885764.0,CA,50.7,-127.42,44.6,green,38.39,44.6,44.6,90.0,light intensity shower rain,93.0,8.05
noumea,1579885765.0,NC,-22.28,166.46,75.76,orange,79.32,78.01,73.4,90.0,overcast clouds,78.0,5.82
porto novo,1579885766.0,BJ,6.5,2.6,89.6,red,92.5,89.6,89.6,31.0,haze,52.0,8.05
bosaso,1579885768.0,SO,11.28,49.18,76.86,orange,79.59,76.86,76.86,89.0,overcast clouds,76.0,7.54
krasne,1579885769.0,UA,49.91,24.61,35.6,green,27.09,35.6,35.6,57.0,broken clouds,59.0,6.71
tocopilla,1579885770.0,CL,-22.09,-70.2,73.15,orange,68.56,73.15,73.15,70.0,broken clouds,55.0,11.48
kahului,1579885771.0,US,20.89,-156.47,65.59,orange,65.57,69.8,62.6,1.0,clear sky,82.0,5.82
nizwa,1579885772.0,OM,22.93,57.53,64.4,orange,63.48,64.4,64.4,32.0,scattered clouds,63.0,2.53
san cristobal,1579885773.0,VE,7.77,-72.22,75.2,orange,80.91,75.2,75.2,75.0,fog,88.0,4.7
tucano,1579885774.0,BR,-10.96,-38.79,80.35,red,85.69,80.35,80.35,100.0,overcast clouds,67.0,2.62
paragominas,1579885775.0,BR,-2.97,-47.48,85.66,red,94.93,85.66,85.66,63.0,light rain,77.0,4.72
chifeng,1579885776.0,CN,42.27,118.96,14.31,blue,5.36,14.31,14.31,0.0,clear sky,78.0,5.48
ballina,1579885777.0,AU,-28.87,153.57,78.28,red,78.87,80.6,75.99,84.0,light rain,83.0,14.99
sarangani,1579885779.0,PH,5.4,125.46,81.72,red,84.94,81.72,81.72,23.0,light rain,79.0,12.21
santarem,1579885720.0,BR,-2.44,-54.71,87.8,red,91.72,87.8,87.8,20.0,few clouds,66.0,11.41
andenes,1579885781.0,NO,69.31,16.12,25.65,blue,19.76,28.0,24.01,80.0,light snow,92.0,2.24
hovd,1579885547.0,MN,48.01,91.64,1.0,blue,-6.16,1.0,1.0,2.0,clear sky,77.0,1.21
costa rica,1579885783.0,BR,-23.42,-54.65,81.25,red,84.6,81.25,81.25,63.0,light rain,67.0,6.91
sunam,1579885784.0,IN,30.13,75.8,47.88,green,41.29,47.88,47.88,16.0,few clouds,51.0,4.99
niteroi,1579885611.0,BR,-22.88,-43.1,78.31,red,81.57,82.4,77.0,75.0,broken clouds,83.0,10.29
alta floresta,1579885788.0,BR,-9.88,-56.09,86.0,red,90.59,86.0,86.0,40.0,shower rain,70.0,10.29
bila tserkva,1579885789.0,UA,49.81,30.11,33.06,green,21.36,33.06,33.06,100.0,overcast clouds,67.0,12.5
newport,1579885790.0,GB,51.59,-3.0,43.07,green,37.18,45.0,41.0,75.0,broken clouds,93.0,6.93
solnechnyy,1579885792.0,RU,50.72,136.63,-10.95,blue,-18.96,-10.95,-10.95,100.0,overcast clouds,87.0,2.26
margate,1579885793.0,GB,51.38,1.39,42.6,green,38.26,44.01,41.0,75.0,broken clouds,100.0,4.7
kalmunai,1579885794.0,LK,7.42,81.82,80.85,red,82.11,80.85,80.85,30.0,scattered clouds,76.0,13.69
kavaratti,1579885539.0,IN,10.57,72.64,82.04,red,87.94,82.04,82.04,33.0,scattered clouds,69.0,3.85
astara,1579885796.0,AZ,38.5,48.67,39.2,green,32.88,39.2,39.2,90.0,light rain,86.0,5.82
cabinda,1579885797.0,AO,-5.55,12.2,84.2,red,91.27,84.2,84.2,40.0,scattered clouds,74.0,5.82
cape canaveral,1579885798.0,US,28.41,-80.6,71.56,orange,73.44,75.0,66.99,75.0,broken clouds,83.0,6.93
antalya,1579885799.0,TR,36.77,30.72,48.2,green,32.94,48.2,48.2,0.0,clear sky,24.0,17.22
krasnorechenskiy,1579885800.0,RU,44.63,135.35,-8.12,blue,-17.59,-8.12,-8.12,0.0,clear sky,80.0,4.88
pinyug,1579885801.0,RU,60.25,47.78,14.5,blue,4.23,14.5,14.5,100.0,light snow,93.0,8.32
cockburn town,1579885804.0,TC,21.46,-71.14,75.52,orange,74.84,75.52,75.52,66.0,broken clouds,54.0,5.55
krasnoselkup,1579885805.0,RU,65.7,82.47,17.06,blue,2.93,17.06,17.06,94.0,light snow,93.0,15.5
port-cartier,1579885806.0,CA,50.03,-66.87,15.8,blue,5.63,17.01,14.0,20.0,few clouds,51.0,6.93
bagotville,1579885807.0,AU,-28.98,153.42,78.31,red,78.93,80.6,75.99,84.0,light rain,83.0,14.99
nhulunbuy,1579885808.0,AU,-12.23,136.77,80.6,red,86.18,80.6,80.6,100.0,overcast clouds,88.0,10.29
cornwall,1579885614.0,CA,45.02,-74.73,34.0,green,25.21,37.0,30.99,75.0,broken clouds,59.0,6.93
kaitong,1579885811.0,CN,44.81,123.15,-0.51,blue,-11.24,-0.51,-0.51,0.0,clear sky,87.0,7.63
willmar,1579885596.0,US,45.12,-95.04,27.9,blue,18.81,30.2,26.6,90.0,overcast clouds,86.0,8.05
naryan-mar,1579885813.0,RU,67.67,53.09,-8.07,blue,-17.57,-8.07,-8.07,98.0,overcast clouds,99.0,5.14
okhotsk,1579885815.0,RU,59.38,143.3,-25.42,blue,-37.84,-25.42,-25.42,0.0,clear sky,71.0,9.6
esmeraldas,1579885817.0,BR,-19.76,-44.31,72.05,orange,71.67,73.4,71.6,90.0,light rain,100.0,16.11
belaya,1579885818.0,UA,49.03,25.77,37.0,green,31.15,37.0,37.0,67.0,broken clouds,56.0,1.99
jining,1579885819.0,CN,35.41,116.58,38.41,green,32.31,38.41,38.41,100.0,overcast clouds,49.0,2.13
bolshoye nagatkino,1579885820.0,RU,54.52,47.97,19.4,blue,4.95,19.4,19.4,100.0,overcast clouds,73.0,15.66
north bend,1579885821.0,US,43.41,-124.22,49.51,green,43.81,53.01,46.0,90.0,overcast clouds,93.0,9.17
kasongo-lunda,1579885822.0,CD,-6.47,16.82,73.63,orange,78.44,73.63,73.63,43.0,light rain,78.0,1.92
karasjok,1579885823.0,NO,69.47,25.51,17.6,blue,3.02,17.6,17.6,100.0,light snow,85.0,16.11
lazaro cardenas,1579885824.0,MX,17.96,-102.2,84.76,red,87.96,84.76,84.76,1.0,clear sky,53.0,4.25
bolobo,1579885826.0,CD,-2.17,16.23,82.62,red,82.15,82.62,82.62,56.0,broken clouds,36.0,2.46
kysyl-syr,1579885829.0,RU,63.9,122.76,-45.51,blue,-55.5,-45.51,-45.51,52.0,broken clouds,98.0,5.1
cascais,1579885830.0,PT,38.7,-9.42,55.4,orange,51.67,57.2,53.6,75.0,broken clouds,76.0,5.82
nelson,1579885831.0,NZ,-41.28,173.28,61.21,orange,62.96,63.0,54.0,45.0,scattered clouds,87.0,1.01
antalaha,1579885832.0,MG,-14.9,50.28,79.38,orange,83.97,79.38,79.38,100.0,light rain,83.0,8.97
nome,1579885833.0,US,64.5,-165.41,-13.81,blue,-24.79,-13.0,-14.8,1.0,clear sky,75.0,7.31
uruzgan,1579885805.0,AF,32.83,66.0,27.57,blue,22.57,27.57,27.57,100.0,overcast clouds,95.0,1.21
ribeira brava,1579885835.0,PT,32.65,-17.07,61.2,orange,56.73,64.4,57.99,40.0,scattered clouds,55.0,5.82
paamiut,1579885837.0,GL,61.99,-49.67,17.46,blue,-2.06,17.46,17.46,100.0,light snow,89.0,24.96
ust-kuyga,1579885838.0,RU,70.02,135.6,-41.28,blue,-52.02,-41.28,-41.28,14.0,few clouds,99.0,6.46
adrar,1579885698.0,MR,20.5,-10.07,80.17,red,73.78,80.17,80.17,60.0,broken clouds,19.0,5.59
port-gentil,1579885840.0,GA,-0.72,8.78,87.8,red,95.11,87.8,87.8,40.0,scattered clouds,74.0,9.17
terme,1579885841.0,TR,41.21,36.97,37.4,green,32.18,37.4,37.4,75.0,broken clouds,86.0,3.36
lofthus,1579885842.0,NO,59.95,10.8,37.15,green,28.49,41.0,34.0,41.0,scattered clouds,55.0,6.93
monrovia,1579885683.0,LR,6.3,-10.8,82.63,red,86.92,82.63,82.63,32.0,scattered clouds,77.0,10.42
gazojak,1579885844.0,TM,41.19,61.4,39.87,green,30.45,39.87,39.87,100.0,overcast clouds,76.0,10.6
jinchang,1579885845.0,CN,38.5,102.17,18.79,blue,10.98,18.79,18.79,0.0,clear sky,53.0,3.06
aksarayskiy,1579885846.0,RU,46.79,48.01,23.0,blue,12.58,23.0,23.0,34.0,scattered clouds,73.0,8.95
wanning,1579885848.0,CN,18.8,110.4,70.02,orange,72.16,70.02,70.02,49.0,scattered clouds,88.0,6.6
tateyama,1579885849.0,JP,34.98,139.87,45.97,green,31.17,48.2,43.0,100.0,light rain,76.0,21.92
montijo,1579885850.0,PT,38.71,-8.97,55.47,orange,52.3,57.2,53.6,75.0,broken clouds,82.0,5.82
bodden town,1579885851.0,KY,19.28,-81.25,78.71,orange,81.14,79.0,78.01,20.0,few clouds,65.0,5.82
codrington,1579885852.0,AU,-38.27,141.97,60.4,orange,52.68,60.4,60.4,38.0,scattered clouds,90.0,17.9
billings,1579885597.0,US,45.78,-108.5,36.39,green,26.22,37.99,34.0,75.0,broken clouds,51.0,9.17
xining,1579885854.0,CN,36.62,101.77,13.1,blue,5.81,13.1,13.1,26.0,scattered clouds,84.0,2.59
teguldet,1579885855.0,RU,57.31,88.17,28.36,blue,18.21,28.36,28.36,100.0,light snow,92.0,10.36
alice springs,1579885856.0,AU,-23.7,133.88,77.0,orange,72.34,77.0,77.0,28.0,scattered clouds,31.0,5.82
darnah,1579885857.0,LY,32.77,22.64,60.62,orange,52.7,60.62,60.62,0.0,clear sky,67.0,14.03
ibra,1579885858.0,OM,22.69,58.53,71.28,orange,68.43,71.28,71.28,33.0,scattered clouds,42.0,3.8
prince rupert,1579885860.0,CA,54.32,-130.32,43.14,green,32.04,43.14,43.14,100.0,light rain,85.0,15.41
minot,1579885648.0,US,48.23,-101.3,18.57,blue,8.74,19.4,17.01,90.0,fog,92.0,8.05
senanga,1579885862.0,ZM,-16.12,23.27,76.48,orange,76.68,76.48,76.48,96.0,overcast clouds,66.0,8.48
bara,1579885863.0,NG,10.37,10.73,74.34,orange,63.12,74.34,74.34,33.0,scattered clouds,9.0,9.86
oranjemund,1579885864.0,NA,-28.55,16.43,68.22,orange,67.59,68.22,68.22,0.0,clear sky,77.0,7.43
nhamunda,1579885865.0,BR,-2.19,-56.71,99.95,red,103.28,99.95,99.95,44.0,scattered clouds,32.0,3.29
asyut,1579885866.0,EG,27.18,31.18,53.6,green,42.82,53.6,53.6,0.0,clear sky,66.0,16.11
constitucion,1579885867.0,CL,-35.33,-72.42,71.42,orange,64.76,71.42,71.42,19.0,few clouds,46.0,11.77
meulaboh,1579885868.0,ID,4.14,96.13,84.67,red,93.09,84.67,84.67,50.0,scattered clouds,68.0,1.32
kyshtovka,1579885870.0,RU,56.55,76.63,16.52,blue,9.1,16.52,16.52,88.0,overcast clouds,93.0,3.51
kloulklubed,1579885871.0,PW,7.04,134.26,78.8,orange,84.52,78.8,78.8,90.0,light intensity shower rain,94.0,10.29
bulawayo,1579885873.0,ZW,-20.15,28.58,72.77,orange,68.13,72.77,72.77,74.0,broken clouds,59.0,12.53
sur,1579885874.0,OM,22.57,59.53,69.66,orange,70.83,69.66,69.66,7.0,clear sky,72.0,3.87
wilmington island,1579885875.0,US,32.0,-80.97,61.45,orange,59.34,64.99,57.2,90.0,light rain,93.0,9.17
chipinge,1579885876.0,ZW,-20.19,32.62,65.3,orange,65.82,65.3,65.3,100.0,overcast clouds,89.0,6.24
verkhnyaya inta,1579885877.0,RU,65.98,60.31,1.67,blue,-10.28,1.67,1.67,100.0,light snow,96.0,10.09
romitan,1579885879.0,UZ,39.93,64.38,44.6,green,36.39,44.6,44.6,20.0,few clouds,70.0,9.17
sheridan,1579885880.0,US,44.83,-106.92,37.74,green,30.7,44.6,32.0,1.0,clear sky,45.0,3.36
fort dix,1579885882.0,US,40.03,-74.62,49.3,green,40.06,53.01,46.0,1.0,clear sky,53.0,10.29
hastings,1579885592.0,GB,50.86,0.57,42.22,green,36.16,44.01,39.99,75.0,broken clouds,93.0,6.93
filadelfia,1579885636.0,US,39.95,-75.16,49.33,green,40.1,52.0,46.0,1.0,clear sky,53.0,10.29
baruun-urt,1579885886.0,MN,46.68,113.28,-1.44,blue,-12.44,-1.44,-1.44,53.0,broken clouds,84.0,7.99
port macquarie,1579885887.0,AU,-31.43,152.92,72.64,orange,80.06,73.99,71.01,90.0,overcast clouds,94.0,1.12
poum,1579885888.0,NC,-20.23,164.02,79.25,orange,75.74,79.25,79.25,78.0,light rain,77.0,21.05
alekseyevka,1579885889.0,RU,50.63,38.69,28.6,blue,14.81,28.6,28.6,89.0,overcast clouds,90.0,16.73
ewa beach,1579885890.0,US,21.32,-158.01,65.17,orange,66.38,68.0,60.8,1.0,clear sky,88.0,4.7
la asuncion,1579885891.0,VE,11.03,-63.86,85.98,red,86.77,85.98,85.98,36.0,scattered clouds,45.0,5.88
juba,1579885893.0,SS,4.85,31.58,81.27,red,76.32,81.27,81.27,85.0,overcast clouds,18.0,2.91
walvis bay,1579885894.0,NA,-22.96,14.51,72.52,orange,65.46,75.2,70.0,0.0,clear sky,57.0,16.11
waddan,1579885895.0,LY,29.16,16.14,61.02,orange,51.3,61.02,61.02,0.0,clear sky,29.0,10.07
cabedelo,1579885853.0,BR,-6.98,-34.83,86.0,red,90.21,86.0,86.0,75.0,broken clouds,66.0,9.17
