City,DT,Country,Lat,Lon,Temp,Color,Feels_Like,Hi,Low,Cloudiness,Weather,Humidity,Wind
mayya,1579887145.0,RU,61.73,130.28,-49.0,blue,-57.42,-49.0,-49.0,90.0,fog,56.0,2.24
thompson,1579887146.0,CA,55.74,-97.86,10.4,blue,-0.11,10.4,10.4,75.0,broken clouds,85.0,8.05
jackson,1579887029.0,US,42.42,-122.83,44.49,green,42.12,46.99,39.99,90.0,fog,100.0,1.95
siderno,1579887149.0,IT,38.28,16.3,56.88,orange,52.88,59.0,54.0,75.0,broken clouds,76.0,6.93
guerrero negro,1579886900.0,MX,27.98,-114.06,67.35,orange,64.44,67.35,67.35,100.0,overcast clouds,45.0,3.22
pallasovka,1579887151.0,RU,50.05,46.88,15.78,blue,2.55,15.78,15.78,27.0,scattered clouds,91.0,13.67
auki,1579887152.0,SB,-8.77,160.7,84.09,red,88.92,84.09,84.09,24.0,few clouds,75.0,10.13
madimba,1579887153.0,TZ,-10.4,40.33,79.41,orange,88.54,79.41,79.41,97.0,light rain,81.0,0.22
akdepe,1579887155.0,TM,42.06,59.38,33.82,green,25.59,35.6,32.0,100.0,overcast clouds,74.0,6.93
gizo,1579886985.0,SB,-8.1,156.84,77.58,orange,83.84,77.58,77.58,16.0,light rain,87.0,5.61
cap malheureux,1579887157.0,MU,-19.98,57.61,80.8,red,88.39,81.0,80.6,75.0,shower rain,88.0,6.93
isangel,1579887158.0,VU,-19.55,169.27,76.3,orange,78.46,76.3,76.3,72.0,light rain,85.0,11.05
waipawa,1579886895.0,NZ,-41.41,175.52,61.57,orange,51.94,63.0,60.01,27.0,scattered clouds,77.0,19.46
kavaratti,1579886940.0,IN,10.57,72.64,82.04,red,87.94,82.04,82.04,33.0,scattered clouds,69.0,3.85
manokwari,1579887162.0,ID,-0.87,134.08,72.68,orange,76.86,72.68,72.68,43.0,scattered clouds,80.0,2.86
kazlu ruda,1579887163.0,LT,54.77,23.5,39.2,green,27.09,39.2,39.2,90.0,light intensity drizzle,86.0,16.11
syamzha,1579887164.0,RU,60.02,41.06,28.35,blue,18.32,28.35,28.35,100.0,light snow,90.0,10.0
kuytun,1579887025.0,RU,54.34,101.5,11.93,blue,3.2,11.93,11.93,100.0,overcast clouds,85.0,5.06
rio grande,1579887064.0,BR,-32.03,-52.1,87.8,red,87.4,87.8,87.8,20.0,few clouds,45.0,9.17
san cristobal,1579887071.0,VE,7.77,-72.22,77.0,orange,81.46,77.0,77.0,75.0,fog,83.0,6.93
yamada,1579887168.0,JP,39.47,141.95,27.68,blue,18.57,27.68,27.68,0.0,clear sky,57.0,6.46
talnakh,1579887169.0,RU,69.49,88.4,6.8,blue,-3.23,6.8,6.8,75.0,light snow,77.0,6.71
saint-augustin,1579887170.0,CA,51.23,-58.65,5.77,blue,-9.56,5.77,5.77,0.0,clear sky,70.0,15.9
celestun,1579887171.0,MX,20.87,-90.4,72.39,orange,75.2,72.39,72.39,81.0,broken clouds,78.0,4.52
katsuura,1579887172.0,JP,35.13,140.3,46.69,green,32.29,48.2,45.0,100.0,light rain,80.0,21.92
pedro juan caballero,1579887174.0,PY,-22.55,-55.73,82.4,red,84.63,82.4,82.4,75.0,broken clouds,54.0,4.7
santa fe,1579887056.0,AR,-31.63,-60.7,92.66,red,89.69,93.99,91.0,3.0,clear sky,30.0,8.99
ailigandi,1579887177.0,PA,9.23,-78.02,83.53,red,85.68,83.53,83.53,27.0,light rain,61.0,8.57
fort nelson,1579887178.0,CA,58.81,-122.7,8.6,blue,-0.02,8.6,8.6,90.0,light snow,92.0,4.7
melito di porto salvo,1579887179.0,IT,37.92,15.77,56.95,orange,49.77,59.0,54.0,40.0,scattered clouds,62.0,10.29
abiramam,1579887180.0,IN,9.47,78.45,78.8,orange,84.43,78.8,78.8,20.0,few clouds,74.0,3.36
tamala,1579887181.0,RU,52.54,43.25,24.89,blue,9.43,24.89,24.89,100.0,light snow,92.0,19.08
san policarpo,1579887182.0,PH,12.18,125.51,78.75,orange,82.99,78.75,78.75,2.0,moderate rain,87.0,10.36
lindi,1579887184.0,TZ,-10.0,39.72,73.04,orange,81.45,73.04,73.04,97.0,overcast clouds,96.0,0.31
oriximina,1579887185.0,BR,-1.77,-55.87,95.04,red,101.35,95.04,95.04,4.0,clear sky,44.0,2.04
hasanabad,1579887186.0,IR,36.55,61.05,48.2,green,40.53,48.2,48.2,0.0,clear sky,61.0,8.21
lakhdenpokhya,1579887187.0,RU,61.52,30.2,32.0,green,22.86,32.0,32.0,38.0,scattered clouds,82.0,8.75
quatre cocos,1579887188.0,MU,-20.21,57.76,80.78,red,88.36,81.0,80.6,75.0,shower rain,88.0,6.93
kangaatsiaq,1579887190.0,GL,68.31,-53.46,21.43,blue,2.46,21.43,21.43,100.0,overcast clouds,82.0,24.29
marathon,1579887192.0,US,44.9,-89.77,33.19,green,25.36,35.01,32.0,90.0,light snow,86.0,6.93
nuuk,1579887193.0,GL,64.18,-51.72,12.11,blue,-0.29,12.2,12.0,75.0,broken clouds,78.0,11.41
cururupu,1579887194.0,BR,-1.83,-44.87,83.17,red,92.03,83.17,83.17,31.0,moderate rain,84.0,5.73
lazaro cardenas,1579887195.0,MX,17.96,-102.2,84.76,red,87.96,84.76,84.76,1.0,clear sky,53.0,4.25
farafangana,1579886954.0,MG,-22.82,47.83,78.08,orange,76.14,78.08,78.08,30.0,light rain,77.0,17.25
el carmen,1579887198.0,CO,8.51,-73.45,77.52,orange,83.37,77.52,77.52,84.0,light rain,77.0,2.93
rabo de peixe,1579887199.0,PT,37.8,-25.58,59.0,orange,52.27,59.0,59.0,20.0,few clouds,62.0,10.29
machiques,1579887200.0,VE,10.06,-72.55,90.95,red,96.67,90.95,90.95,99.0,overcast clouds,48.0,2.06
impfondo,1579887201.0,CG,1.64,18.07,80.44,red,75.61,80.44,80.44,100.0,overcast clouds,19.0,2.86
obera,1579887202.0,AR,-27.49,-55.12,87.21,red,85.91,87.21,87.21,0.0,clear sky,35.0,5.73
paciran,1579887203.0,ID,-6.88,112.38,77.09,orange,85.05,77.09,77.09,28.0,light rain,88.0,2.51
atbasar,1579887204.0,KZ,51.8,68.33,20.64,blue,10.24,20.64,20.64,100.0,overcast clouds,93.0,9.42
tuatapere,1579886963.0,NZ,-46.13,167.68,59.0,orange,57.45,59.0,59.0,100.0,light rain,95.0,7.0
olafsvik,1579886923.0,IS,64.89,-23.71,31.15,blue,20.57,31.15,31.15,100.0,overcast clouds,79.0,10.94
pitimbu,1579887207.0,BR,-7.47,-34.81,86.0,red,89.58,86.0,86.0,75.0,broken clouds,66.0,10.29
mar del plata,1579887209.0,AR,-38.0,-57.56,91.22,red,83.17,91.4,91.0,20.0,few clouds,41.0,23.04
opelousas,1579887210.0,US,30.53,-92.08,57.96,orange,51.87,60.01,55.4,1.0,clear sky,58.0,8.05
brae,1579886942.0,GB,60.4,-1.35,42.55,green,34.29,44.6,41.0,20.0,shower rain,86.0,10.29
hualmay,1579886956.0,PE,-11.1,-77.61,81.93,red,79.41,81.93,81.93,31.0,scattered clouds,51.0,11.65
aklavik,1579887213.0,CA,68.22,-135.01,-4.76,blue,-18.54,-4.0,-5.8,90.0,light snow,83.0,12.75
matara,1579887214.0,LK,5.95,80.54,73.72,orange,76.75,73.72,73.72,38.0,scattered clouds,86.0,7.54
gberia fotombu,1579887215.0,SL,9.88,-11.17,93.15,red,85.32,93.15,93.15,97.0,overcast clouds,10.0,6.69
vardo,1579887216.0,NO,70.37,31.11,17.44,blue,8.64,21.2,12.2,75.0,broken clouds,85.0,5.82
saint-francois,1579886987.0,FR,46.42,3.91,40.5,green,35.76,42.8,37.99,94.0,light rain,81.0,2.93
mlonggo,1579887218.0,ID,-6.53,110.7,80.6,red,87.64,80.6,80.6,40.0,scattered clouds,83.0,5.82
dulce nombre de culmi,1579887219.0,HN,15.1,-85.53,75.13,orange,78.3,75.13,75.13,96.0,overcast clouds,66.0,2.24
basco,1579887220.0,PH,20.45,121.97,77.07,orange,72.19,77.07,77.07,62.0,broken clouds,73.0,20.24
ilulissat,1579887222.0,GL,69.22,-51.1,19.4,blue,2.35,19.4,19.4,75.0,broken clouds,52.0,19.46
san patricio,1579886964.0,MX,19.22,-104.7,82.4,red,89.38,82.4,82.4,20.0,few clouds,74.0,4.23
antofagasta,1579887200.0,CL,-23.65,-70.4,80.6,red,78.37,80.6,80.6,88.0,overcast clouds,54.0,11.41
cermik,1579887225.0,TR,38.14,39.45,30.2,blue,20.01,30.2,30.2,0.0,clear sky,46.0,8.05
hovd,1579887226.0,MN,48.01,91.64,1.0,blue,-6.16,1.0,1.0,2.0,clear sky,77.0,1.21
marrakesh,1579887127.0,MA,31.63,-8.01,66.2,orange,60.78,66.2,66.2,40.0,scattered clouds,34.0,4.7
saint-pierre,1579887230.0,RE,-21.34,55.48,77.25,red,78.13,80.6,71.01,100.0,moderate rain,94.0,17.22
sabha,1579886992.0,LY,27.04,14.43,60.35,orange,49.78,60.35,60.35,29.0,scattered clouds,18.0,9.35
najran,1579887230.0,SA,17.49,44.13,64.4,orange,56.61,64.4,64.4,5.0,clear sky,36.0,8.86
mamakan,1579887233.0,RU,57.82,114.0,-7.33,blue,-15.43,-7.33,-7.33,100.0,overcast clouds,96.0,2.68
sweetwater,1579887148.0,US,25.76,-80.37,77.41,red,75.33,80.01,75.0,75.0,broken clouds,54.0,9.17
rupert,1579887184.0,US,42.62,-113.68,32.97,green,26.37,33.8,28.99,90.0,light rain,86.0,4.7
te anau,1579886973.0,NZ,-45.42,167.72,57.78,orange,59.54,57.78,57.78,100.0,moderate rain,100.0,1.28
fort william,1579887238.0,GB,56.82,-5.11,46.0,green,42.64,46.0,46.0,100.0,light rain,94.0,3.67
gayny,1579887239.0,RU,60.31,54.32,4.23,blue,-4.54,4.23,4.23,94.0,overcast clouds,97.0,4.68
maraa,1579887240.0,BR,-1.83,-65.37,99.3,red,105.51,99.3,99.3,68.0,broken clouds,39.0,2.46
mul,1579887241.0,IN,20.07,79.67,70.65,orange,70.84,70.65,70.65,0.0,clear sky,52.0,0.85
muzhi,1579887242.0,RU,65.37,64.67,5.88,blue,-2.61,5.88,5.88,100.0,light snow,96.0,4.32
ionia,1579886980.0,US,42.99,-85.07,35.17,green,26.92,37.0,33.8,90.0,light rain,100.0,9.17
terre-de-bas,1579887244.0,GP,15.85,-61.64,84.2,red,86.23,84.2,84.2,90.0,overcast clouds,66.0,11.41
itarema,1579887245.0,BR,-2.92,-39.92,88.75,red,88.99,88.75,88.75,12.0,few clouds,54.0,13.09
la ronge,1579887247.0,CA,55.1,-105.28,21.2,blue,12.56,21.2,21.2,20.0,few clouds,79.0,5.82
hambantota,1579887248.0,LK,6.12,81.12,80.26,red,74.23,80.26,80.26,21.0,few clouds,75.0,25.72
usinsk,1579887249.0,RU,65.99,57.53,-0.22,blue,-10.19,-0.22,-0.22,93.0,light snow,97.0,6.46
englehart,1579887250.0,CA,47.82,-79.87,24.8,blue,14.72,24.8,24.8,90.0,overcast clouds,85.0,9.17
jaisalmer,1579887251.0,IN,26.91,70.92,62.31,orange,56.84,62.31,62.31,0.0,clear sky,33.0,3.58
port hardy,1579887252.0,CA,50.7,-127.42,44.6,green,39.02,44.6,44.6,75.0,light intensity shower rain,93.0,6.93
ust-ilimsk,1579887253.0,RU,58.0,102.66,19.81,blue,8.29,19.81,19.81,100.0,light snow,91.0,11.18
shalya,1579887254.0,RU,57.25,58.73,7.57,blue,-3.44,7.57,7.57,100.0,light snow,94.0,8.9
mahebourg,1579887255.0,MU,-20.41,57.7,80.35,red,87.67,80.6,80.01,75.0,shower rain,88.0,6.93
warrnambool,1579887257.0,AU,-38.38,142.48,61.0,orange,55.33,61.0,61.0,33.0,scattered clouds,87.0,14.05
willowmore,1579887259.0,ZA,-33.29,23.49,69.71,orange,68.41,69.71,69.71,17.0,light rain,61.0,5.41
aksarka,1579887214.0,RU,66.56,67.8,0.27,blue,-8.54,0.27,0.27,92.0,overcast clouds,97.0,4.41
jalu,1579887008.0,LY,29.03,21.55,56.55,orange,50.43,56.55,56.55,0.0,clear sky,57.0,7.45
paita,1579887263.0,PE,-5.09,-81.11,62.6,orange,62.35,62.6,62.6,40.0,scattered clouds,100.0,8.05
abu dhabi,1579887245.0,AE,24.47,54.37,66.2,orange,65.97,66.2,66.2,12.0,few clouds,68.0,3.36
carballo,1579887265.0,ES,43.21,-8.69,52.56,orange,49.15,55.0,50.0,100.0,overcast clouds,71.0,3.36
adrar,1579887249.0,MR,20.5,-10.07,80.17,red,73.78,80.17,80.17,60.0,broken clouds,19.0,5.59
marion,1579887154.0,US,39.77,-86.16,41.49,green,36.91,44.01,39.0,90.0,mist,100.0,4.7
singkang,1579887268.0,MY,2.1,102.8,78.53,orange,83.28,78.8,78.01,20.0,few clouds,74.0,4.7
bolitoc,1579887269.0,PH,15.74,119.88,73.11,orange,76.69,73.11,73.11,72.0,broken clouds,76.0,3.11
whitehorse,1579887204.0,CA,60.72,-135.05,7.97,blue,-0.02,8.6,7.0,90.0,light snow,84.0,3.36
koslan,1579887272.0,RU,63.46,48.9,-2.54,blue,-10.88,-2.54,-2.54,89.0,overcast clouds,99.0,3.42
garissa,1579887273.0,KE,-0.45,39.64,82.76,red,86.2,82.76,82.76,100.0,light rain,67.0,8.03
kropotkin,1579887274.0,RU,45.44,40.58,33.01,green,20.48,33.01,33.01,17.0,few clouds,58.0,13.33
ozernovskiy,1579887275.0,RU,51.5,156.52,5.97,blue,-4.25,5.97,5.97,86.0,light snow,94.0,7.34
svetlyy,1579887277.0,RU,54.67,20.13,41.0,green,28.53,41.0,41.0,90.0,light rain,93.0,17.9
mangotsfield,1579887278.0,GB,51.49,-2.5,43.09,green,37.83,45.0,41.0,90.0,overcast clouds,93.0,5.82
collierville,1579887279.0,US,35.04,-89.66,43.48,green,36.41,45.0,42.01,90.0,overcast clouds,93.0,9.17
zhanakorgan,1579887280.0,KZ,43.91,67.25,28.02,blue,19.33,28.02,28.02,98.0,overcast clouds,93.0,7.74
kem,1579887282.0,RU,64.96,34.58,20.57,blue,10.33,20.57,20.57,97.0,overcast clouds,93.0,9.13
novobureyskiy,1579887283.0,RU,49.8,129.88,-20.74,blue,-28.48,-20.74,-20.74,0.0,clear sky,89.0,1.48
zurrieq,1579887284.0,MT,35.83,14.47,57.7,orange,49.98,59.0,57.0,75.0,broken clouds,82.0,14.99
gold coast,1579887056.0,AU,-28.0,153.43,79.29,red,81.7,81.0,78.01,90.0,overcast clouds,83.0,12.75
aykhal,1579887286.0,RU,66.0,111.5,-23.8,blue,-34.58,-23.8,-23.8,75.0,light snow,74.0,6.71
voronovytsya,1579887287.0,UA,49.11,28.68,34.97,green,23.56,35.6,34.0,65.0,broken clouds,51.0,11.18
riyadh,1579887203.0,SA,24.69,46.72,57.2,orange,49.86,57.2,57.2,0.0,clear sky,33.0,5.82
itacoatiara,1579887289.0,BR,-3.14,-58.44,87.8,red,97.7,87.8,87.8,40.0,scattered clouds,79.0,6.93
corrente,1579887290.0,BR,-3.74,-43.34,82.36,red,92.62,82.36,82.36,47.0,moderate rain,89.0,4.32
nangong,1579887291.0,CN,37.36,115.37,31.59,blue,25.39,31.59,31.59,89.0,overcast clouds,61.0,2.06
shizunai,1579887292.0,JP,42.33,142.37,13.46,blue,0.16,13.46,13.46,100.0,light snow,85.0,13.33
pemba,1579887140.0,MZ,-12.97,40.52,78.8,orange,85.48,78.8,78.8,75.0,broken clouds,83.0,4.7
fort-shevchenko,1579887022.0,KZ,44.51,50.26,27.81,blue,8.58,27.81,27.81,92.0,light snow,55.0,24.32
havelock,1579887270.0,US,34.88,-76.9,64.63,orange,62.55,68.0,60.8,1.0,clear sky,68.0,5.82
tacuarembo,1579887297.0,UY,-31.73,-55.98,87.71,red,83.3,87.71,87.71,16.0,few clouds,24.0,6.33
biaora,1579887298.0,IN,23.87,76.92,58.06,orange,51.35,58.06,58.06,8.0,clear sky,37.0,5.55
vokhma,1579887299.0,RU,58.93,46.76,19.56,blue,8.8,19.56,19.56,100.0,light snow,94.0,9.93
muros,1579887300.0,ES,42.78,-9.06,52.68,orange,48.96,57.0,48.0,20.0,few clouds,76.0,4.7
montelimar,1579887302.0,FR,44.56,4.75,47.8,green,43.75,50.0,46.0,20.0,few clouds,75.0,3.36
taybad,1579887304.0,IR,34.74,60.78,38.19,green,34.14,38.19,38.19,0.0,clear sky,74.0,0.51
rocha,1579887305.0,UY,-34.48,-54.33,91.51,red,86.18,91.51,91.51,0.0,clear sky,20.0,7.29
khovu-aksy,1579887307.0,RU,51.13,93.6,1.13,blue,-11.16,1.13,1.13,86.0,overcast clouds,82.0,10.42
ponta do sol,1579887308.0,PT,32.67,-17.1,59.59,orange,54.16,62.6,55.99,40.0,scattered clouds,55.0,6.93
tucuman,1579887309.0,AR,-26.82,-65.22,87.8,red,90.52,87.8,87.8,61.0,broken clouds,52.0,6.93
ballina,1579887237.0,AU,-28.87,153.57,77.67,red,81.55,80.6,75.99,40.0,scattered clouds,88.0,10.29
matagami,1579887151.0,CA,49.75,-77.63,14.0,blue,2.97,14.0,14.0,1.0,clear sky,78.0,9.17
acapulco,1579887162.0,MX,16.86,-99.89,84.2,red,88.81,84.2,84.2,20.0,few clouds,66.0,6.82
belem de sao francisco,1579887315.0,BR,-8.75,-38.97,89.02,red,89.53,89.02,89.02,89.0,overcast clouds,40.0,5.95
raymond,1579887129.0,US,43.9,-70.47,40.14,green,30.78,43.0,37.0,75.0,light rain,60.0,9.17
natal,1579887154.0,BR,-5.79,-35.21,86.0,red,87.57,86.0,86.0,75.0,broken clouds,66.0,13.87
saldanha,1579887320.0,ZA,-33.01,17.94,78.8,orange,77.81,78.8,78.8,0.0,clear sky,54.0,8.05
palmerston,1579887321.0,AU,-12.49,130.98,83.3,red,88.5,84.2,80.01,75.0,broken clouds,79.0,10.29
namatanai,1579887223.0,PG,-3.67,152.43,82.85,red,86.49,82.85,82.85,11.0,few clouds,78.0,12.21
wanning,1579887323.0,CN,18.8,110.4,70.02,orange,72.16,70.02,70.02,49.0,scattered clouds,88.0,6.6
fortuna,1579887324.0,US,40.6,-124.16,52.68,green,50.59,54.0,50.0,1.0,clear sky,87.0,3.36
igboho,1579887326.0,NG,8.83,3.75,82.49,red,75.02,82.49,82.49,59.0,broken clouds,7.0,3.27
keti bandar,1579887327.0,PK,24.14,67.45,68.99,orange,64.99,68.99,68.99,0.0,clear sky,54.0,8.05
mayo,1579887329.0,US,38.89,-76.51,48.33,green,43.68,52.0,45.0,90.0,overcast clouds,76.0,4.7
shingu,1579887330.0,JP,33.73,135.98,49.28,green,41.18,49.28,49.28,55.0,broken clouds,69.0,10.29
yantal,1579887331.0,RU,56.85,105.25,15.33,blue,4.64,15.33,15.33,100.0,light snow,94.0,9.22
iqaluit,1579887333.0,CA,63.75,-68.51,-22.0,blue,-37.46,-22.0,-22.0,20.0,few clouds,61.0,14.99
sao gabriel da cachoeira,1579887334.0,BR,-0.13,-67.09,86.0,red,97.25,86.0,86.0,40.0,scattered clouds,89.0,6.93
omsukchan,1579887281.0,RU,62.53,155.8,-40.29,blue,-50.46,-40.29,-40.29,100.0,overcast clouds,99.0,5.46
marzuq,1579887338.0,YE,14.4,46.47,64.47,orange,65.93,64.47,64.47,70.0,broken clouds,80.0,2.04
ostrovnoy,1579887339.0,RU,68.05,39.51,11.3,blue,1.62,11.3,11.3,100.0,overcast clouds,88.0,6.76
bandarbeyla,1579887341.0,SO,9.49,50.81,78.8,orange,77.94,78.8,78.8,100.0,overcast clouds,85.0,18.79
vanavara,1579887342.0,RU,60.34,102.28,10.42,blue,1.45,10.42,10.42,100.0,light snow,95.0,5.57
amapa,1579887343.0,BR,1.0,-52.0,91.44,red,96.08,91.44,91.44,74.0,broken clouds,48.0,4.36
mangrol,1579887344.0,IN,21.12,70.12,72.55,orange,65.93,72.55,72.55,0.0,clear sky,53.0,14.2
iturama,1579887345.0,BR,-19.73,-50.2,79.41,orange,83.32,79.41,79.41,76.0,moderate rain,84.0,10.58
los llanos de aridane,1579887346.0,ES,28.66,-17.92,63.45,orange,60.42,66.2,60.01,40.0,scattered clouds,63.0,5.82
kineshma,1579887347.0,RU,57.44,42.13,30.29,blue,21.65,30.29,30.29,100.0,light snow,94.0,8.19
monte alegre,1579887348.0,BR,-2.01,-54.07,94.5,red,98.2,94.5,94.5,59.0,broken clouds,41.0,4.47
visnagar,1579887349.0,IN,23.7,72.55,64.4,orange,62.67,64.4,64.4,0.0,smoke,55.0,2.24
okhotsk,1579887350.0,RU,59.38,143.3,-25.42,blue,-37.84,-25.42,-25.42,0.0,clear sky,71.0,9.6
det udom,1579887351.0,TH,14.91,105.08,75.2,orange,80.28,75.2,75.2,7.0,clear sky,73.0,1.12
kieta,1579887353.0,PG,-6.22,155.63,81.01,red,87.13,81.01,81.01,37.0,scattered clouds,77.0,5.61
